E(keV),mu_adipose(cm^-1),mu_blood(cm^-1),mu_bone(cm^-1),mu_brain(cm^-1),mu_soft_tissue(cm^-1),mu_water(cm^-1)
1,2496.6,4034.36,7259.52,3844.88,3934.72,4078
2,361,608.122,1126.85,579.904,593.176,617.3
3,112.86,197.372,567.936,191.568,194.616,192.9
4,48.013,86.7822,255.552,85.1864,86.5066,82.78
5,24.5765,44.8592,368.064,44.1168,44.7744,42.58
6,14.193,26.0548,224.832,25.6672,26.0336,24.64
7,8.93573,16.4388,147.363,16.2119,16.4441,15.4967
8,5.985,11.3208,102.202,10.8888,11.0452,10.37
9,4.23253,7.98989,73.5073,7.68464,7.79107,7.29733
10,3.1046,5.85014,54.7392,5.6264,5.70174,5.329
11,2.39473,4.46232,41.7784,4.29192,4.34867,4.05857
12,1.8894,3.48494,32.6454,3.35205,3.39585,3.16519
13,1.51927,2.77606,26.0179,2.67033,2.70485,2.5181
14,1.24156,2.24897,21.0877,2.16343,2.19111,2.03756
15,1.02885,1.84864,17.3414,1.7784,1.80094,1.673
16,0.890067,1.57037,14.4463,1.51141,1.53066,1.4216
17,0.7768,1.34724,12.1685,1.29724,1.31383,1.21997
18,0.683245,1.166,10.3509,1.12318,1.13762,1.05613
19,0.605142,1.01705,8.88217,0.980087,0.992734,0.921456
20,0.539315,0.893368,7.68192,0.861224,0.87238,0.8096
21,0.500722,0.813042,6.72903,0.784439,0.794663,0.738133
22,0.4665,0.74319,5.93078,0.717611,0.727018,0.675875
23,0.435987,0.682057,5.25665,0.659081,0.667768,0.621297
24,0.408645,0.628245,4.68313,0.60752,0.615571,0.573177
25,0.384032,0.580622,4.19192,0.561859,0.569342,0.530527
26,0.361781,0.538272,3.76857,0.521225,0.5282,0.492542
27,0.341589,0.500439,3.40162,0.484901,0.49142,0.458561
28,0.323197,0.466501,3.08186,0.452296,0.458403,0.428036
29,0.306391,0.435937,2.80185,0.422915,0.428649,0.40051
30,0.290985,0.408312,2.55552,0.396344,0.40174,0.3756
31,0.282953,0.392353,2.36139,0.381109,0.386312,0.36147
32,0.275386,0.377495,2.18749,0.366916,0.371939,0.348296
33,0.268246,0.363632,2.03117,0.353664,0.358518,0.335985
34,0.261496,0.350669,1.8902,0.341265,0.345961,0.324458
35,0.255105,0.338524,1.76269,0.329642,0.33419,0.313644
36,0.249043,0.327125,1.64702,0.318726,0.323133,0.30348
37,0.243285,0.316406,1.5418,0.308456,0.312731,0.29391
